,Artist,Song Title,Year
1721,Jackson 5,I Want You Back,1970
1722,Poppy Family,Which Way You Goin' Billy?,1970
1723,Free,All Right Now,1970
1724,Bobby Sherman,"Julie, Do Ya Love Me",1970
1725,Sugarloaf,Green-Eyed Lady,1970
1726,Stevie Wonder,"Signed Sealed, Delivered (I'm Yours)",1970
1727,Blues Image,Ride Captain Ride,1970
1728,Shocking Blue,Venus,1970
1729,John Lennon,Instant Karma (We All Shine On),1970
1730,Clarence Carter,Patches,1970
1731,Creedence Clearwater Revival,Lookin' Out My Back Door / Long As I Can See The Light,1970
1732,Brook Benton,Rainy Night In Georgia,1970
1733,Kenny Rogers and The First Edition,Something's Burning,1970
1734,Chairmen Of The Board,Give Me Just A Little More Time,1970
1735,Edison Lighthouse,Love Grows (Where My Rosemary Goes),1970
1736,Beatles,The Long And Winding Road / For You Blue,1970
1737,Anne Murray,Snowbird,1970
1738,Marmalade,Reflections Of My Life,1970
1739,Eddie Holman,Hey There Lonely Girl,1970
1740,Jaggerz,The Rapper,1970
1741,Hollies,"He Ain't Heavy, He's My Brother",1970
1742,Alive and Kicking,"Tighter, Tighter",1970
1743,Badfinger,Come And Get It,1970
1744,Simon and Garfunkel,Cecelia,1970
1745,Charles Wright and The Watts 103rd Street Rhythm Band,Love Land,1970
1746,Tyrone Davis,Turn Back The Hands Of Time,1970
1747,Kinks,Lola,1970
1748,Mungo Jerry,In The Summertime,1970
1749,R. Dean Taylor,Indiana Wants Me,1970
1750,Rare Earth,(I Know) I'm Losing You,1970
1751,Bobby Sherman,"Easy Come, Easy Go",1970
1752,Charles Wright and The Watts 103rd Street Rhythm Band,Express Yourself,1970
1753,Four Tops,Still Water,1970
1754,Chicago,Make Me Smile,1970
1755,Frijid Pink,House Of The Rising Sun,1970
1756,Chicago,25 Or 6 To 4,1970
1757,White Plains,My Baby Loves Lovin',1970
1758,Friends Of Distinction,Love Or Let Me Be Lonely,1970
1759,Brotherhood Of Man,United We Stand,1970
1760,Carpenters,We've Only Just Begun,1970
1761,Mark Lindsay,Arizona,1970
1762,James Taylor,Fire And Rain,1970
1763,Gene Chandler,Groovy Situation,1970
1764,Santana,Evil Ways,1970
1765,Guess Who,No Time,1970
1766,Delfonics,Didn't I (Blow Your Mind This Time),1970
1767,Elvis Presley,The Wonder Of You / Mama Liked The Roses,1970
1768,Creedence Clearwater Revival,Up Around The Bend / Run Through The Jungle,1970
1769,Ronnie Dyson,(If You Let Me Make Love To You Then) Why Can't I Touch You,1970
1770,B.J. Thomas,I Just Can't Help Believing,1970
1771,Spinners,It's A Shame,1970
1772,Bobbi Martin,For The Love Of Him,1970
1773,Mountain,Mississippi Queen,1970
1774,Ike and Tina Turner,I Want To Take You Higher,1970
1775,Joe Cocker,The Letter,1970
1776,Tee Set,Ma Belle Amie,1970
1777,Originals,The Bells,1970
1778,Christie,Yellow River,1970
1779,100 Proof Aged In Soul,Somebody's Been Sleeping,1970
1780,Ides Of March,Vehicle,1970
1781,Pipkins,Gimme Dat Ding,1970
1782,Robin McNamara,Lay A Little Lovin' On Me,1970
1783,Supremes,Up The Ladder To The Roof,1970
1784,Creedence Clearwater Revival,Travelin' Band / Who'll Stop The Rain,1970
1785,Sandpipers,Come Saturday Morning,1970
1786,Temptations,Psychedelic Shack,1970
1787,Tom Jones,Without Love (There Is Nothing),1970
1788,Pacific Gas and Electric,Are You Ready?,1970
1789,"Crosby, Stills, Nash and Young",Woodstock,1970
1790,Dionne Warwick,I'll Never Fall In Love Again,1970
1791,New Seekers,Look What They've Done To My Song Ma,1970
1792,Joe South,Walk A Mile In My Shoes,1970
1793,B.B. King,The Thrill Is Gone,1970
1794,Glen Campbell,It's Only Make Believe,1970
1795,Aretha Franklin,Call Me,1970
1796,Three Dog Night,Joy To The World,1971
1797,Rod Stewart,Maggie May / (Find A) Reason To Believe,1971
1798,Carole King,It's Too Late / I Feel The Earth Move,1971
1799,Osmonds,One Bad Apple,1971
1800,Bee Gees,How Can You Mend A Broken Heart,1971
1801,Raiders,Indian Reservation,1971
1802,Donny Osmond,Go Away Little Girl,1971
1803,John Denver,"Take Me Home, Country Roads",1971
1804,Temptations,Just My Imagination (Running Away With Me),1971
1805,Dawn,Knock Three Times,1971
1806,Janis Joplin,Me And Bobby McGee,1971
1807,Al Green,Tired Of Being Alone,1971
1808,Honey Cone,Want Ads,1971
1809,Undisputed Truth,Smiling Faces Sometimes,1971
1810,Cornelius Brothers and Sister Rose,Treat Her Like A Lady,1971
1811,Rolling Stones,Brown Sugar,1971
1812,James Taylor,You've Got A Friend,1971
1813,Jean Knight,Mr. Big Stuff,1971
1814,Lee Michaels,Do You Know What I Mean,1971
1815,Joan Baez,The Night They Drove Old Dixie Down,1971
1816,Marvin Gaye,What's Going On,1971
1817,Paul and Linda McCartney,Uncle Albert-Admiral Halsey,1971
1818,Bill Withers,Ain't No Sunshine,1971
1819,Five Man Electrical Band,Signs,1971
1820,Tom Jones,She's A Lady,1971
1821,Free Movement,I Found Someone Of My Own,1971
1822,Murray Head and The Trinidad Singers,Superstar,1971
1823,Jerry Reed,Amos Moses,1971
1824,Grass Roots,Temptation Eyes,1971
1825,Carpenters,Superstar,1971
1826,George Harrison,My Sweet Lord / Isn't It A Pity,1971
1827,Donny Osmond,Sweet And Innocent,1971
1828,Ocean,Put Your Hand In The Hand,1971
1829,Daddy Dewdrop,Chick-A-Boom (Don't Ya Jes' Love It),1971
1830,Carpenters,For All We Know,1971
1831,Gordon Lightfoot,If You Could Read My Mind,1971
1832,Sammi Smith,Help Me Make It Through The Night,1971
1833,Carpenters,Rainy Days And Mondays,1971
1834,Cher,"Gypsy, Tramps And Thieves",1971
1835,Jackson 5,Never Can Say Goodbye,1971
1836,Lynn Anderson,Rose Garden,1971
1837,"Hamilton, Joe Frank and Reynolds",Don't Pull Your Love,1971
1838,Ringo Starr,It Don't Come Easy,1971
1839,Nitty Gritty Dirt Band,Mr. Bojangles,1971
1840,Fuzz,I Love You For All Seasons,1971
1841,Dramatics,Whatcha See Is Whatcha Get,1971
1842,Carly Simon,That's The Way I've Always Heard It Should Be,1971
1843,Stevie Wonder,If You Really Love Me,1971
1844,Aretha Franklin,Spanish Harlem,1971
1845,Helen Reddy,I Don't Know How To Love Him,1971
1846,Osmonds,Yo-yo,1971
1847,Aretha Franklin,Bridge Over Troubled Water,1971
1848,Partridge Family,Doesn't Somebody Want To Be Wanted,1971
1849,Tommy James,Draggin' The Line,1971
1850,Ike and Tina Turner,Proud Mary,1971
1851,Chicago,Beginnings / Color My World,1971
1852,Bells,Stay Awhile,1971
1853,Stampeders,Sweet City Woman,1971
1854,Lobo,Me And You And A Dog Named Boo,1971
1855,Paul McCartney,"Another Day / Oh Woman, Oh Why",1971
1856,Bread,If,1971
1857,Marvin Gaye,Mercy Mercy Me (The Ecology),1971
1858,Brewer and Shipley,One Toke Over The Line,1971
1859,8th Day,She's Not Just Another Woman,1971
1860,Freda Payne,Bring The Boys Home,1971
1861,Rare Earth,I Just Want To Celebrate,1971
1862,Delaney and Bonnie and Friends,Never Ending Song Of Love,1971
1863,Freddy Hart,Easy Loving,1971
1864,Three Dog Night,Liar,1971
1865,Honey Cone,Stick-up,1971
1866,Mac and Katie Kissoon,Chirpy Chirpy Cheep Cheep,1971
1867,Andy Williams,Love Story (Where Do I Begin),1971
1868,Cat Stevens,Wild World,1971
1869,Jerry Reed,"When You're Hot, You're Hot",1971
1870,Beginning Of The End,Funky Nassau,1971
1871,Olivia Newton-John,If Not For You,1971
1872,King Floyd,Groove Me,1971
1873,Bobby Goldsboro,Watching Scotty Grow,1971
1874,Matthews' Southern Comfort,Woodstock,1971
1875,Judy Collins,Amazing Grace,1971
1876,Dave Edmunds,I Hear You Knocking,1971
1877,Bee Gees,Lonely Days,1971
1878,Fortunes,Here Comes That Rainy Day Feeling Again,1971
1879,Who,Won't Get Fooled Again,1971
1880,Denise Lasalle,Trapped By A Thing Called Love,1971
1881,Jackson 5,Mama's Pearl,1971
1882,Buoys,Timothy,1971
1883,Partridge Family,I Woke Up In Love This Morning,1971
1884,Isaac Hayes,"Theme From ""Shaft""",1971
1885,Gladys Knight and The Pips,If I Were Your Woman,1971
1886,Neil Diamond,I Am..I Said,1971
1887,Paul Stookey,Wedding Song (There Is Love),1971
1888,Wilson Pickett,"Don't Knock My Love, Pt. 1",1971
1889,Doors,Love Her Madly,1971
1890,Richie Havens,Here Comes The Sun,1971
1891,Wadsworth Mansion,Sweet Mary,1971
1892,Brenda and The Tabulations,Right On The Tip Of My Tongue,1971
1893,Fifth Dimension,One Less Bell To Answer,1971
1894,Doors,Riders On The Storm,1971
1895,Perry Como,It's Impossible,1971
1896,Roberta Flack,The First Time Ever I Saw Your Face,1972
1897,Gilbert O'Sullivan,Alone Again (Naturally),1972
1898,Don McLean,American Pie,1972
1899,Nilsson,Without You,1972
1900,Sammy Davis Jr.,Candy Man,1972
1901,Joe Tex,I Gotcha,1972
1902,Bill Withers,Lean On Me,1972
1903,Mac Davis,Baby Don't Get Hooked On Me,1972
1904,Melanie,Brand New Key,1972
1905,Wayne Newton,Daddy Don't You Walk So Fast,1972
1906,Al Green,Let's Stay Together,1972
1907,Looking Glass,Brandy (You're A Fine Girl),1972
1908,Chi-Lites,Oh Girl,1972
1909,Gallery,Nice To Be With You,1972
1910,Chuck Berry,My Ding-A-Ling,1972
1911,Luther Ingram,If Loving You Is Wrong I Don't Want To Be Right,1972
1912,Neil Young,Heart Of Gold,1972
1913,Stylistics,"Betcha By Golly, Wow",1972
1914,Staple Singers,I'll Take You There,1972
1915,Michael Jackson,Ben,1972
1916,Robert John,The Lion Sleeps Tonight,1972
1917,Billy Preston,Outa-Space,1972
1918,War,Slippin' Into Darkness,1972
1919,Hollies,Long Cool Woman (In A Black Dress),1972
1920,Mouth and MacNeal,How Do You Do,1972
1921,Neil Diamond,Song Sung Blue,1972
1922,America,A Horse With No Name,1972
1923,Hot Butter,Popcorn,1972
1924,Main Ingredient,Everybody Plays The Fool,1972
1925,Climax,Precious And Few,1972
1926,5th Dimension,Last Night I Didn't Get To Sleep At All,1972
1927,Moody Blues,Nights In White Satin,1972
1928,Raspberries,Go All The Way,1972
1929,Cornelius Brothers and Sister Rose,Too Late To Turn Back Now,1972
1930,O'Jays,Back Stabbers,1972
1931,Osmonds,Down By The Lazy River,1972
1932,Jonathan Edwards,Sunshine,1972
1933,Mel and Tim,Starting All Over Again,1972
1934,Badfinger,Day Atter Day,1972
1935,Elton John,Rocket Man,1972
1936,Michael Jackson,Rockin' Robin,1972
1937,Daniel Boone,Beautiful Sunday,1972
1938,Dennis Coffey and The Detroit Guitar Band,Scorpio,1972
1939,Cat Stevens,Morning Has Broken,1972
1940,Arlo Guthrie,The City Of New Orleans,1972
1941,Rick Nelson,Garden Party,1972
1942,Johnny Nash,I Can See Clearly Now,1972
1943,Elvis Presley,Burning Love,1972
1944,Betty Wright,Clean Up Woman,1972
1945,Argent,Hold Your Head Up,1972
1946,Chakachas,Jungle Fever,1972
1947,Bread,Everything I Own,1972
1948,Dramatics,In The Rain,1972
1949,Al Green,Look What You Done For Me,1972
1950,Donna Fargo,The Happiest Girl In The Whole U.S.A.,1972
1951,T. Rex,Bang A Gong (Get It On),1972
1952,Paul Simon,Mother And Child Reunion,1972
1953,Roberta Flack and Donny Hathaway,Where Is The Love,1972
1954,Al Green,I'm Still In Love With You,1972
1955,Derek and The Dominos,Layla,1972
1956,Aretha Franklin,Day Dreaming,1972
1957,Cher,The Way Of Love,1972
1958,Three Dog Night,Black And White,1972
1959,Dr. Hook and The Medicine Show,Sylvia's Mother,1972
1960,Carpenters,Hurting Each Other,1972
1961,Nilsson,Coconut,1972
1962,Donny Osmond,Puppy Love,1972
1963,Jim Croce,You Don't Mess Around With Jim,1972
1964,Commander Cody and His Lost Planet Airmen,Hot Rod Lincoln,1972
1965,Sonny and Cher,A Cowboy's Work Is Never Done,1972
1966,Apollo 100,Joy,1972
1967,Carly Simon,Anticipation,1972
1968,Three Dog Night,Never Been To Spain,1972
1969,Charlie Pride,Kiss An Angel Good Morning,1972
1970,Alice Cooper,School's Out,1972
1971,Chicago,Saturday In The Park,1972
1972,Joe Simon,Drowning In The Sea Of Love,1972
1973,Bill Withers,Use Me,1972
1974,Sly and The Family Stone,Family Affair,1972
1975,Jimmy Castor Bunch,Troglodyte,1972
1976,Redbone,The Witch Queen Of New Orleans,1972
1977,Curtis Mayfield,Freddie's Dead,1972
1978,Joe Simon,Power Of Love,1972
1979,Jerry Butler and Brenda Lee Eager,Ain't Understanding Mellow,1972
1980,Harry Chapin,Taxi,1972
1981,Beverly Bremers,Don't Say You Don't Rememeer,1972
1982,Bobby Vinton,Sealed With A Kiss,1972
1983,Todd Rundgren,I Saw The Light,1972
1984,Sailcat,Motorcycle Mama,1972
1985,Godspell,Day By Day,1972
1986,Yes,Roundabout,1972
1987,Jackson Browne,Doctor My Eyes,1972
1988,New Seekers,I'd Like To Teach The World To Sing,1972
1989,Don Mclean,Vincent / Castles In The Air,1972
1990,Detroit Emeralds,Baby Let Me Take You (In My Arms),1972
1991,Rick Springfield,Speak To The Sky,1972
1992,Hillside Singers,I'd Like To Teach The World To Sing,1972
1993,Love Unlimited,Walking In The Rain With The One I Love,1972
1994,James Brown,"Good Foot, Pt. 1",1972
1995,Isley Bros.,Pop That Thang,1972
1996,Tony Orlando and Dawn,Tie A Yellow Ribbon Round The Ole Oak Tree,1973
1997,Jim Croce,Bad Bad Leroy Brown,1973
1998,Roberta Flack,Killing Me Softly With His Song,1973
1999,Marvin Gaye,Let's Get It On,1973
2000,Paul McCartney and Wings,My Love,1973
2001,Kris Kristofferson,Why Me,1973
2002,Elton John,Crocodile Rock,1973
2003,Billy Preston,Will It Go Round In Circles,1973
2004,Carly Simon,You're So Vain,1973
2005,Diana Ross,Touch Me In The Morning,1973
2006,Vicki Lawrence,The Night The Lights Went Out In Georgia,1973
2007,Clint Holmes,Playground In My Mind,1973
2008,Stories,Brother Louie,1973
2009,Helen Reddy,Delta Dawn,1973
2010,Billy Paul,Me And Mrs. Jones,1973
2011,Edgar Winter Group,Frankenstein,1973
2012,Dobie Gray,Drift Away,1973
2013,Sweet,Little Willy,1973
2014,Stevie Wonder,You Are The Sunshine Of My Life,1973
2015,Cher,Half Breed,1973
2016,Isley Bros.,That Lady,1973
2017,Sylvia,Pillow Talk,1973
2018,Grand Funk Railroad,We're An American Band,1973
2019,Dr. John,"Right Place, Wrong Time",1973
2020,Skylark,Wildflower,1973
2021,Stevie Wonder,Superstition,1973
2022,Paul Simon,Loves Me Like A Rock,1973
2023,Maureen McGovern,The Morning After,1973
2024,John Denver,Rocky Mountain High,1973
2025,Stealers Wheel,Stuck In The Middle With You,1973
2026,Three Dog Night,Shambala,1973
2027,O'Jays,Love Train,1973
2028,Barry White,I'm Gonna Love You Just A Little More,1973
2029,Tony Orlando and Dawn,"Say, Has Anybody Seen My Sweet Gypsy Rose",1973
2030,Eddie Kendricks,Keep On Truckin' (Pt. 1),1973
2031,King Harvest,Dancing In The Moonlight,1973
2032,Anne Murray,Danny's Song,1973
2033,"Bobby ""Boris"" Pickett and The Crypt Kickers",Monster Mash,1973
2034,Bloodstone,Natural High,1973
2035,Seals and Crofts,Diamond Girl,1973
2036,Doobie Brothers,Long Train Running,1973
2037,George Harrison,Give Me Love (Give Me Peace On Earth),1973
2038,Sly and The Family Stone,If You Want Me To Stay,1973
2039,Jermaine Jackson,Daddy's Home,1973
2040,Gladys Knight and The Pips,Neither One Of Us (Wants To Be The First To Say Goodbye),1973
2041,New York City,I'm Doing Fine Now,1973
2042,Spinners,Could It Be I'm Falling In Love,1973
2043,Elton John,Daniel,1973
2044,Gladys Knight and The Pips,Midnight Train To Georgia,1973
2045,Deep Purple,Smoke On The Water,1973
2046,Dr. Hook and The Medicine Show,The Cover Of Rolling Stone,1973
2047,Charlie Rich,Behind Closed Doors,1973
2048,Loggins and Messina,Your Mama Don't Dance,1973
2049,Chicago,Feelin' Stronger Every Day,1973
2050,War,The Cisco Kid,1973
2051,Wings,Live And Let Die,1973
2052,Hurricane Smith,"Oh, Babe, What Would You Say?",1973
2053,Johnnie Taylor,I Believe In You,1973
2054,Carpenters,Sing,1973
2055,Four Tops,Ain't No Woman (Like The One I Got),1973
2056,Eric Weissberg and Steve Mandel,Dueling Banjos,1973
2057,Stevie Wonder,Higher Ground,1973
2058,Al Green,Here I Am (Come And Take Me),1973
2059,B.W. Stevenson,My Maria,1973
2060,Curtis Mayfield,Superfly,1973
2061,Gilbert O'Sullivan,Get Down,1973
2062,Edward Bear,Last Song,1973
2063,Steely Dan,Reelin' In The Years,1973
2064,Focus,Hocus Pocus,1973
2065,Carpenters,Yesterday Once More,1973
2066,Bette Midler,Boogie Woogie Bugle Boy,1973
2067,Gilbert O'Sullivan,Clair,1973
2068,Steely Dan,Do It Again,1973
2069,Paul Simon,Kodachrome,1973
2070,Timmy Thomas,Why Can't We Live Together,1973
2071,Tower Of Power,So Very Hard To Go,1973
2072,Bette Midler,Do You Want To Dance?,1973
2073,Johnny Rivers,Rockin' Pneumonia And The Boogie Woogie Flu,1973
2074,Allman Brothers,Ramblin' Man,1973
2075,Temptations,Masterpiece,1973
2076,Helen Reddy,Peaceful,1973
2077,Spinners,One Of A Kind (Love Affair),1973
2078,Donna Fargo,Funny Face,1973
2079,Ohio Players,Funky Worm,1973
2080,Rolling Stones,Angie,1973
2081,Blue Ridge Rangers,Jambalaya (On The Bayou),1973
2082,Lobo,Don't Expect Me To Be Your Friend,1973
2083,Stylistics,Break Up To Make Up,1973
2084,Jud Strunk,Daisy A Day,1973
2085,Deodato,Also Sprach Zarathustra (2001),1973
2086,Johnny Nash,Stir It Up,1973
2087,Pink Floyd,Money,1973
2088,War,Gypsy Man,1973
2089,War,The World Is A Ghetto,1973
2090,Pointer Sisters,Yes We Can Can,1973
2091,Edgar Winter Group,Free Ride,1973
2092,David Bowie,Space Oddity,1973
2093,Albert Hammond,It Never Rains In Southern California,1973
2094,Donny Osmond,The Twelfth Of Never,1973
2095,Temptations,Papa Was A Rolling Stone,1973
2096,Barbra Streisand,The Way We Were,1974
2097,Terry Jacks,Seasons In The Sun,1974
2098,Love Unlimited Orchestra,Love's Theme,1974
2099,Redbone,Come And Get Your Love,1974
2100,Jackson 5,Dancing Machine,1974
2101,Grand Funk Railroad,The Loco-Motion,1974
2102,MFSB,TSOP,1974
2103,Ray Stevens,The Streak,1974
2104,Elton John,Bennie And The Jets,1974
2105,Mac Davis,One Hell Of A Woman,1974
2106,Aretha Franklin,Until You Come Back To Me (That's What I'm Gonna Do),1974
2107,Kool and The Gang,Jungle Boogie,1974
2108,Maria Muldaur,Midnight At The Oasis,1974
2109,Stylistics,You Make Me Feel Brand New,1974
2110,Al Wilson,Show And Tell,1974
2111,Jim Stafford,Spiders And Snakes,1974
2112,David Essex,Rock On,1974
2113,John Denver,Sunshine On My Shoulders,1974
2114,Blue Magic,Sideshow,1974
2115,Blue Swede,Hooked On A Feeling,1974
2116,Bo Donaldson and The Heywoods,Billy Don't Be A Hero,1974
2117,Paul McCartney and Wings,Band On The Run,1974
2118,Charlie Rich,The Most Beautiful Girl,1974
2119,Jim Croce,Time In A Bottle,1974
2120,John Denver,Annie's Song,1974
2121,Paul Anka,(You're) Having My Baby,1974
2122,Olivia Newton-John,Let Me Be There,1974
2123,Gordon Lightfoot,Sundown,1974
2124,Andy Kim,Rock Me Gently,1974
2125,Eddie Kendricks,Boogie Down,1974
2126,Ringo Starr,You're Sixteen,1974
2127,Olivia Newton-John,If You Love Me (Let Me Know),1974
2128,Cher,Dark Lady,1974
2129,Gladys Knight and The Pips,Best Thing That Ever Happened To Me,1974
2130,Roberta Flack,Feel Like Makin' Love,1974
2131,Main Ingredient,Just Don't Want To Be Lonely,1974
2132,Billy Preston,Nothing From Nothing,1974
2133,George McCrae,Rock Your Baby,1974
2134,Carpenters,Top Of The World,1974
2135,Steve Miller Band,The Joker,1974
2136,Gladys Knight and The Pips,I've Got To Use My Imagination,1974
2137,Three Dog Night,The Show Must Go On,1974
2138,Hues Corporation,Rock The Boat,1974
2139,Brownsville Station,Smokin' In The Boy's Room,1974
2140,Stevie Wonder,Living For The City,1974
2141,Dionne Warwick and The Spinners,Then Came You,1974
2142,Paper Lace,The Night Chicago Died,1974
2143,Marvin Hamlisch,The Entertainer,1974
2144,ABBA,Waterloo,1974
2145,Hollies,The Air That I Breathe,1974
2146,Steely Dan,Rikki Don't Lose That Number,1974
2147,Carly Simon,Mockingbird,1974
2148,Joni Mitchell,Help Me,1974
2149,Anne Murray,You Won't See Me,1974
2150,Barry White,"Never, Never Gonna Give You Up",1974
2151,Rufus,Tell Me Something Good,1974
2152,Helen Reddy,You And Me Against The World,1974
2153,Righteous Brothers,Rock And Roll Heaven,1974
2154,Kool and The Gang,Hollywood Swinging,1974
2155,William Devaughn,Be Thankful For What You Got,1974
2156,Johnny Bristol,Hang On In There Baby,1974
2157,Mocedades,Eres Tu (Touch The Wind),1974
2158,Bachman-Turner Overdrive,Takin' Care Of Business,1974
2159,Golden Earring,Radar Love,1974
2160,Dave Loggins,Please Come To Boston,1974
2161,Wet Willie,Keep On Smilin',1974
2162,Bobby Womack,Lookin' For A Love,1974
2163,O'Jays,Put Your Hands Together,1974
2164,Gladys Knight and The Pips,On And On,1974
2165,Cat Stevens,Oh Very Young,1974
2166,Helen Reddy,Leave Me Alone (Ruby Red Dress),1974
